,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-aim,Python
50,ml-all-pairs,Python
51,ml-ane-transformers,Python
52,ml-aspanformer,Python
53,ml-autofocusformer,Python
54,ml-autofocusformer-segmentation,Python
55,ml-batchquant,Python
56,ml-behavioral-testing-for-mt,
57,ml-calibration,Jupyter Notebook
58,ml-capsules-inverted-attention-routing,Python
59,ml-cifar-10-faster,Python
60,ml-code-switched-speech-translation,Python
61,ml-codeswitching-translations,
62,ml-collegial-ensembles,Python
63,ml-core,Python
64,ml-covid-mobility,R
65,ml-cread,Python
66,ml-cvnets,Python
67,ml-cvpr2019-swd,Python
68,ml-dab,Python
69,ml-data-parameters,Python
70,ml-delphi,
71,ml-destseg,Python
72,ml-dms-dataset,Python
73,ml-dprecs,Jupyter Notebook
74,ml-dr,Python
75,ml-duet,Python
76,ml-entity-deduction-arena,Python
77,ml-entropy-reconstruction,Python
78,ml-envmapnet,Python
79,ml-equivariant-neural-rendering,Jupyter Notebook
80,ml-facelit,Python
81,ml-famae,Python
82,ml-fastvit,Python
83,ml-fct,Python
84,ml-ferret,Python
85,ml-finerecon,Python
86,ml-flair,Jupyter Notebook
87,ml-gaudi,
88,ml-gmpi,Python
89,ml-gsn,Python
90,ml-hd-gist,Python
91,ml-heart-rate-models,Python
92,ml-hierarchical-confusion-matrix,TypeScript
93,ml-hypersim,Python
94,ml-interspeech2022-phi_rtn,
95,ml-kge,Python
96,ml-knowledge-conflicts,Python
97,ml-live-pose,
98,ml-llarp,Python
99,ml-lucid-datagen,Python
100,ml-mgie,Python
101,ml-mkqa,Python
102,ml-mobileclip,Python
103,ml-mobileone,Swift
104,ml-mofi,Python
105,ml-multiple-futures-prediction,Python
106,ml-ncg,Python
107,ml-neilf,Python
108,ml-neilfpp,Python
109,ml-neuman,Python
110,ml-no-token-left-behind,Jupyter Notebook
111,ml-np-rasp,Python
112,ml-nvas3d,Python
113,ml-ogen,Python
114,ml-pgdvs,Python
115,ml-planner,Python
116,ml-pointconvformer,Python
117,ml-pointersect,Python
118,ml-probabilistic-attention,Python
119,ml-projunit,Python
120,ml-qrecc,Python
121,ml-quant,Python
122,ml-reed,Python
123,ml-rlgrad,Python
124,ml-robust-expert-augmentations,Python
125,ml-rpm-bench,Python
126,ml-sad,Python
127,ml-selfcond,Python
128,ml-shuffling-amplification,Python
129,ml-sigma-reparam,Python
130,ml-spatial-librispeech,
131,ml-spin,Python
132,ml-stable-diffusion,Python
133,ml-stabledreamer,
134,ml-stuttering-events-dataset,Python
135,ml-symphony,Svelte
136,ml-tic-clip,Python
137,ml-tract,Python
138,ml-transcript-translation-consistency-ratings,
139,ml-translate-vis,TypeScript
140,ml-tree-dst,Python
141,ml-tune-mode-convbn,Python
142,ml-upscale,Jupyter Notebook
143,ml-uwac,Python
144,ml-veclip,Jupyter Notebook
145,ml-vfi-smiff,Python
146,ml-vision-transformers-ane,Python
147,openjdk,Java
148,password-manager-resources,JavaScript
149,pfl-research,Python
150,pkl,Java
151,pkl-go,Go
152,pkl-go-examples,Go
153,pkl-intellij,Kotlin
154,pkl-jvm-examples,Groovy
155,pkl-k8s,Kotlin
156,pkl-k8s-examples,
157,pkl-lang.org,JavaScript
158,pkl-neovim,Scheme
159,pkl-package-docs,Kotlin
160,pkl-pantry,Kotlin
161,pkl-project-commons,
162,pkl-spring,Java
163,pkl-swift,Swift
164,pkl-swift-examples,Swift
165,pkl-vscode,TypeScript
166,pkl.tmbundle,
167,pytorch-speech-features,Python
168,rules_pkl,
169,sample-backyard-birds,Swift
170,sample-cloudkit-coredatasync,Swift
171,sample-cloudkit-encryption,Swift
172,sample-cloudkit-privatedb,Swift
173,sample-cloudkit-privatedb-sync,Swift
174,sample-cloudkit-queries,Swift
175,sample-cloudkit-sharing,Swift
176,sample-cloudkit-sync-engine,Swift
177,sample-cloudkit-tooling,JavaScript
178,sample-cloudkit-zonesharing,Swift
179,sample-food-truck,Swift
180,servicetalk,Java
181,sourcekit-lsp,Swift
182,swift,C++
183,swift-3-api-guidelines-review,Swift
184,swift-algorithms,Swift
185,swift-aoc-starter-example,Swift
186,swift-argument-parser,Swift
187,swift-asn1,Swift
188,swift-async-algorithms,Swift
189,swift-async-dns-resolver,Swift
190,swift-atomics,Swift
191,swift-book,Markdown
192,swift-cassandra-client,Swift
193,swift-certificates,Swift
194,swift-clang,C++
195,swift-clang-tools-extra,C++
196,swift-cluster-membership,Swift
197,swift-cmake-examples,CMake
198,swift-cmark,C
199,swift-collections,Swift
200,swift-collections-benchmark,Swift
201,swift-community-hosted-continuous-integration,
202,swift-compiler-rt,C
203,swift-corelibs-foundation,Swift
204,swift-corelibs-libdispatch,C
205,swift-corelibs-xctest,Swift
206,swift-crypto,C
207,swift-distributed-actors,Swift
208,swift-distributed-tracing,Swift
209,swift-distributed-tracing-baggage-core,Swift
210,swift-distributed-tracing-extras,Swift
211,swift-docc,Swift
212,swift-docc-plugin,Swift
213,swift-docc-render,JavaScript
214,swift-docc-render-artifact,
215,swift-docc-symbolkit,Swift
216,swift-docker,Dockerfile
217,swift-driver,Swift
218,swift-embedded-examples,Swift
219,swift-evolution,Markdown
220,swift-evolution-staging,Swift
221,swift-experimental-string-processing,Swift
222,swift-for-wasm-examples,Swift
223,swift-format,Swift
224,swift-foundation,Swift
225,swift-foundation-icu,C
226,swift-getting-started-cli,Swift
227,swift-getting-started-package-library,Swift
228,swift-http-structured-headers,Swift
229,swift-http-types,Swift
230,swift-installer-scripts,CMake
231,swift-integration-tests,Python
232,swift-internals,HTML
233,swift-issues,
234,swift-libcxx,C++
235,swift-llbuild,C++
236,swift-llbuild2,Swift
237,swift-lldb,C++
238,swift-llvm,LLVM
239,swift-llvm-bindings,Swift
240,swift-lmdb,C
241,swift-log,Swift
242,swift-markdown,Swift
243,swift-metrics,Swift
244,swift-metrics-extras,Swift
245,swift-mmio,Swift
246,swift-nio,Swift
247,swift-nio-examples,Swift
248,swift-nio-extras,Swift
249,swift-nio-http2,Swift
250,swift-nio-imap,Swift
251,swift-nio-nghttp2-support,Swift
252,swift-nio-ssh,Swift
253,swift-nio-ssl,C
254,swift-nio-ssl-support,Swift
255,swift-nio-transport-services,Swift
256,swift-nio-zlib-support,Swift
257,swift-numerics,Swift
258,swift-openapi-generator,Swift
259,swift-openapi-runtime,Swift
260,swift-openapi-urlsession,Swift
261,swift-org-website,SCSS
262,swift-package-collection-generator,Swift
263,swift-package-manager,Swift
264,swift-package-registry-compatibility-test-suite,Swift
265,swift-playdate-examples,Swift
266,swift-protobuf,Swift
267,swift-protobuf-plugin,
268,swift-protobuf-test-conformance,
269,swift-sample-distributed-actors-transport,Swift
270,swift-sdk-generator,Swift
271,swift-se0270-range-set,Swift
272,swift-se0288-is-power,Swift
273,swift-service-context,Swift
274,swift-service-discovery,Swift
275,swift-source-compat-suite,Python
276,swift-standard-library-preview,Swift
277,swift-statsd-client,Swift
278,swift-stress-tester,Swift
279,swift-string-processing-benchmarks,Swift
280,swift-syntax,Swift
281,swift-system,Swift
282,swift-testing,Swift
283,swift-tools-support-async,Swift
284,swift-tools-support-core,Swift
285,swift-xcode-playground-support,Swift
286,swiftpm-on-llbuild2,Swift
287,tensorflow_macos,Shell
288,tree-sitter-pkl,C
289,turicreate,C++
290,unityplugins,C#
291,VideoFlashingReduction,Mathematica
292,vqg-multimodal-assistant,Python
